Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company
100029,TX5905,2024-10-30 19:22:00,2024-10-30 20:04:05,2525,14.22,14,18,37.38,6.12,5.0,0,48.5,Mobile,Flash Cab
100030,TX6617,2024-11-20 04:25:00,2024-11-20 04:37:18,738,14.98,27,34,39.2,1.55,0.0,1,41.75,No Charge,Blue Ribbon
100031,TX1058,2024-11-25 20:57:00,2024-11-25 21:05:28,508,2.3,43,17,8.77,4.24,0.0,0,13.01,Mobile,Yellow Cab
100032,TX2232,2024-09-27 02:58:00,2024-09-27 03:33:09,2109,11.26,20,70,30.27,4.28,0.0,0,34.55,Cash,Blue Ribbon
100033,TX1653,2024-07-31 08:02:00,2024-07-31 08:44:43,2563,3.39,46,27,11.39,1.27,0.0,2,14.66,Credit Card,Flash Cab
100034,TX4878,2024-05-09 00:29:00,2024-05-09 01:27:15,3495,11.42,21,23,30.66,8.75,5.0,1,45.41,No Charge,Flash Cab
100035,TX5371,2024-03-06 13:16:00,2024-03-06 14:11:16,3316,18.53,21,14,47.72,7.82,2.5,1,59.04,No Charge,Flash Cab
100036,TX6000,2024-11-08 20:30:00,2024-11-08 21:07:07,2227,4.84,30,29,14.87,8.17,2.5,2,27.54,Cash,Yellow Cab
100037,TX9346,2024-05-25 07:50:00,2024-05-25 08:17:24,1644,5.93,52,69,17.48,0.69,0.0,2,20.17,Mobile,Flash Cab
100038,TX2776,2024-02-12 05:52:00,2024-02-12 06:14:49,1369,3.98,77,56,12.8,9.63,0.0,0,22.43,Mobile,Blue Ribbon
100039,TX5173,2024-06-08 03:16:00,2024-06-08 04:02:23,2783,19.69,6,56,50.51,1.16,5.0,1,57.67,Cash,Medallion
100040,TX8066,2024-12-03 05:47:00,2024-12-03 06:28:45,2505,13.89,9,43,36.59,9.4,0.0,2,47.99,Mobile,Flash Cab
100041,TX5844,2024-09-19 07:18:00,2024-09-19 07:43:30,1530,10.39,71,17,28.19,6.67,0.0,3,37.86,Credit Card,Taxi Affiliation
100042,TX7653,2024-08-30 08:14:00,2024-08-30 08:44:52,1852,13.71,71,1,36.15,9.03,5.0,2,52.18,Mobile,Blue Ribbon
100043,TX8238,2024-03-17 18:36:00,2024-03-17 19:10:20,2060,15.82,57,28,41.22,6.07,0.0,3,50.29,No Charge,Yellow Cab
100044,TX2530,2024-08-28 03:07:00,2024-08-28 03:17:47,647,6.03,31,40,17.72,6.64,5.0,2,31.36,Credit Card,Yellow Cab
100045,TX8461,2024-02-23 21:35:00,2024-02-23 21:41:40,400,1.4,54,74,6.61,9.84,5.0,0,21.45,Credit Card,Taxi Affiliation
100046,TX7965,2024-06-29 05:56:00,2024-06-29 06:28:16,1936,5.26,29,23,15.87,6.56,0.0,0,22.43,No Charge,Flash Cab
100047,TX9702,2024-07-22 04:41:00,2024-07-22 05:03:00,1320,18.39,72,77,47.39,1.21,0.0,3,51.6,Mobile,Taxi Affiliation
100048,TX3607,2024-08-11 07:26:00,2024-08-11 08:20:06,3246,17.89,61,58,46.19,4.27,5.0,3,58.46,Mobile,Yellow Cab
100049,TX5499,2024-11-02 00:50:00,2024-11-02 01:38:31,2911,5.91,57,10,17.43,7.78,2.5,1,28.71,Mobile,Yellow Cab
100050,TX4788,2024-04-09 04:16:00,2024-04-09 04:43:55,1675,6.73,50,20,19.4,5.4,0.0,1,25.8,Credit Card,Flash Cab
100051,TX7883,2024-05-31 07:10:00,2024-05-31 07:42:49,1969,6.95,50,75,19.93,4.66,0.0,1,25.59,Cash,Medallion
100052,TX9818,2024-05-18 17:49:00,2024-05-18 18:26:33,2253,0.61,70,29,4.71,3.52,2.5,3,13.73,No Charge,Yellow Cab
100053,TX8657,2024-04-09 14:56:00,2024-04-09 15:30:45,2085,9.97,17,69,27.18,3.89,2.5,1,34.57,Cash,Taxi Affiliation
100054,TX8564,2024-08-03 18:02:00,2024-08-03 18:45:31,2611,13.43,24,7,35.48,0.84,2.5,1,39.82,Mobile,Taxi Affiliation
100055,TX7906,2024-04-29 10:27:00,2024-04-29 10:46:26,1166,9.37,33,11,25.74,3.38,2.5,2,33.62,No Charge,Flash Cab
100056,TX1659,2024-09-29 23:04:00,2024-09-29 23:45:49,2509,1.52,4,32,6.9,9.52,0.0,0,16.42,Credit Card,Flash Cab
100057,TX8619,2024-08-14 11:18:00,2024-08-14 11:33:24,924,5.15,33,48,15.61,4.74,0.0,1,21.35,Credit Card,Medallion
100058,TX2771,2024-08-09 08:12:00,2024-08-09 09:08:03,3363,14.51,75,4,38.07,7.78,0.0,2,47.85,Mobile,Medallion
100059,TX2669,2024-09-03 20:45:00,2024-09-03 21:15:37,1837,8.23,39,77,23.0,7.15,0.0,1,31.15,Cash,Medallion
100060,TX9289,2024-10-12 04:46:00,2024-10-12 04:53:48,468,7.27,44,2,20.7,4.28,0.0,0,24.98,No Charge,Taxi Affiliation
100061,TX8135,2024-02-08 16:12:00,2024-02-08 16:46:35,2075,19.24,23,67,49.43,6.36,2.5,1,59.29,Mobile,Medallion
100062,TX6280,2024-10-21 12:09:00,2024-10-21 12:50:44,2504,15.61,32,12,40.71,4.65,5.0,2,52.36,Mobile,Taxi Affiliation
100063,TX1470,2024-03-30 00:54:00,2024-03-30 01:50:13,3373,9.56,64,42,26.19,6.1,2.5,2,36.79,Credit Card,Taxi Affiliation
100064,TX1166,2024-03-18 11:31:00,2024-03-18 12:00:13,1753,16.06,67,25,41.79,3.4,5.0,2,52.19,Cash,Yellow Cab
100065,TX8342,2024-09-19 10:06:00,2024-09-19 10:38:44,1964,10.03,3,12,27.32,7.58,2.5,3,40.4,Mobile,Yellow Cab
100066,TX9698,2024-05-27 11:42:00,2024-05-27 12:34:13,3133,5.24,45,55,15.83,6.64,0.0,3,25.47,Mobile,Blue Ribbon
100067,TX6169,2024-09-13 03:38:00,2024-09-13 04:13:58,2158,5.78,16,69,17.12,2.51,0.0,1,20.63,Credit Card,Yellow Cab
100068,TX2647,2024-03-20 00:47:00,2024-03-20 01:42:25,3325,9.94,25,38,27.11,7.25,5.0,2,41.36,Credit Card,Blue Ribbon
100069,TX1893,2024-03-06 13:59:00,2024-03-06 14:24:38,1538,0.78,71,38,5.12,5.34,0.0,0,10.46,Credit Card,Taxi Affiliation
100070,TX4020,2024-02-07 14:25:00,2024-02-07 14:30:50,350,11.69,7,33,31.31,4.69,2.5,2,40.5,No Charge,Flash Cab
100071,TX3444,2024-10-26 13:45:00,2024-10-26 13:54:27,567,8.31,73,39,23.19,0.74,0.0,1,24.93,Cash,Yellow Cab
100072,TX9561,2024-02-13 09:02:00,2024-02-13 09:45:05,2585,15.41,49,58,40.23,6.06,5.0,1,52.29,No Charge,Blue Ribbon
100073,TX2625,2024-11-09 10:15:00,2024-11-09 11:00:10,2710,19.81,27,28,50.79,3.05,5.0,0,58.84,Mobile,Flash Cab
100074,TX8381,2024-02-27 10:23:00,2024-02-27 10:44:22,1282,3.89,77,61,12.59,0.75,0.0,3,16.34,Mobile,Flash Cab
100075,TX4824,2024-03-25 12:40:00,2024-03-25 13:04:40,1480,14.29,34,76,37.55,7.03,2.5,0,47.08,Credit Card,Taxi Affiliation
100076,TX2169,2024-02-12 00:55:00,2024-02-12 01:37:10,2530,4.88,8,22,14.96,1.49,0.0,1,17.45,Mobile,Medallion
100077,TX7594,2024-09-29 22:29:00,2024-09-29 23:12:51,2631,18.46,35,65,47.55,4.39,2.5,2,56.44,No Charge,Taxi Affiliation
100078,TX1423,2024-01-30 12:54:00,2024-01-30 13:39:49,2749,1.28,12,30,6.32,4.32,0.0,2,12.64,Cash,Blue Ribbon
100079,TX5557,2024-07-29 01:19:00,2024-07-29 01:26:44,464,15.38,24,75,40.16,1.75,5.0,3,49.91,No Charge,Taxi Affiliation
100080,TX6403,2024-02-03 11:17:00,2024-02-03 11:54:05,2225,7.29,53,64,20.75,3.33,0.0,1,25.08,Mobile,Taxi Affiliation
100081,TX6296,2024-10-23 11:02:00,2024-10-23 11:58:55,3415,11.23,15,52,30.2,4.55,0.0,2,36.75,Cash,Medallion
100082,TX8242,2024-06-17 10:48:00,2024-06-17 11:21:12,1992,1.56,7,27,6.99,5.18,5.0,3,20.17,Mobile,Medallion
100083,TX4920,2024-02-17 22:48:00,2024-02-17 23:12:39,1479,9.04,21,40,24.95,6.98,0.0,0,31.93,Cash,Medallion
100084,TX2924,2024-05-28 19:04:00,2024-05-28 19:15:21,681,4.88,20,64,14.96,8.41,0.0,3,26.37,Mobile,Medallion
100085,TX8483,2024-09-14 01:58:00,2024-09-14 02:21:39,1419,8.6,71,19,23.89,4.82,2.5,1,32.21,No Charge,Yellow Cab
100086,TX7798,2024-12-01 21:24:00,2024-12-01 22:09:55,2755,10.41,44,65,28.23,8.79,0.0,2,39.02,Mobile,Flash Cab
100087,TX8316,2024-04-13 05:29:00,2024-04-13 06:23:33,3273,6.32,69,62,18.42,5.87,2.5,1,27.79,Mobile,Blue Ribbon
100088,TX4912,2024-07-20 04:43:00,2024-07-20 05:40:04,3424,11.1,74,50,29.89,4.55,0.0,1,35.44,Credit Card,Taxi Affiliation
100089,TX3492,2024-01-17 03:23:00,2024-01-17 03:49:43,1603,15.02,64,5,39.3,7.05,2.5,3,51.85,Credit Card,Medallion
100090,TX9617,2024-08-03 03:04:00,2024-08-03 03:31:39,1659,17.46,59,2,45.15,8.74,2.5,0,56.39,Credit Card,Taxi Affiliation
100091,TX7512,2024-11-13 08:19:00,2024-11-13 09:08:41,2981,19.41,11,43,49.83,0.75,0.0,2,52.58,No Charge,Blue Ribbon
100092,TX2121,2024-08-16 11:03:00,2024-08-16 11:57:03,3243,17.81,31,37,45.99,4.88,5.0,0,55.87,Credit Card,Flash Cab
100093,TX3725,2024-06-07 06:06:00,2024-06-07 06:17:43,703,15.33,39,4,40.04,7.04,0.0,3,50.08,Cash,Blue Ribbon
100094,TX9702,2024-10-17 02:48:00,2024-10-17 02:56:49,529,6.22,53,73,18.18,3.75,0.0,1,22.93,Credit Card,Yellow Cab
100095,TX3344,2024-03-04 23:46:00,2024-03-04 23:56:23,623,12.39,30,60,32.99,3.83,0.0,3,39.82,Mobile,Taxi Affiliation
100096,TX2210,2024-04-03 05:04:00,2024-04-03 05:54:31,3031,0.68,57,45,4.88,8.05,0.0,1,13.93,Mobile,Taxi Affiliation
100097,TX2747,2024-09-08 14:03:00,2024-09-08 14:25:04,1324,9.41,31,49,25.83,3.02,2.5,3,34.35,Mobile,Medallion
100098,TX1132,2024-04-17 23:22:00,2024-04-18 00:14:44,3164,6.26,73,7,18.27,9.78,2.5,2,32.55,No Charge,Blue Ribbon
100099,TX5106,2024-10-09 16:31:00,2024-10-09 17:30:32,3572,4.99,18,13,15.23,8.02,0.0,1,24.25,Cash,Blue Ribbon
100100,TX5835,2024-10-14 08:59:00,2024-10-14 09:34:05,2105,1.15,42,54,6.01,3.65,0.0,0,9.66,Credit Card,Yellow Cab
100101,TX3695,2024-02-18 08:49:00,2024-02-18 09:47:41,3521,11.02,33,62,29.7,9.71,5.0,2,46.41,Mobile,Blue Ribbon
100102,TX6992,2024-10-20 01:29:00,2024-10-20 01:41:51,771,9.63,12,51,26.36,0.75,0.0,3,30.11,Cash,Blue Ribbon
100103,TX7086,2024-07-14 14:38:00,2024-07-14 14:51:26,806,9.37,14,30,25.74,6.73,0.0,3,35.47,No Charge,Flash Cab
100104,TX5951,2024-08-13 19:40:00,2024-08-13 20:23:19,2599,6.9,53,15,19.81,6.1,0.0,3,28.91,Credit Card,Flash Cab
100105,TX9807,2024-12-10 18:33:00,2024-12-10 18:40:32,452,6.44,18,50,18.71,4.93,0.0,1,24.64,No Charge,Blue Ribbon
100106,TX7797,2024-09-01 08:47:00,2024-09-01 09:42:43,3343,14.08,13,63,37.04,5.4,5.0,1,48.44,No Charge,Blue Ribbon
100107,TX2627,2024-01-13 03:52:00,2024-01-13 04:44:07,3127,7.73,48,70,21.8,4.43,0.0,2,28.23,Mobile,Flash Cab
100108,TX4475,2024-05-25 04:59:00,2024-05-25 05:22:50,1430,4.2,77,3,13.33,1.22,2.5,0,17.05,Cash,Blue Ribbon
100109,TX4538,2024-03-29 22:20:00,2024-03-29 22:33:35,815,15.85,30,43,41.29,2.05,5.0,1,49.34,Credit Card,Medallion
100110,TX3858,2024-01-02 06:46:00,2024-01-02 07:09:55,1435,17.24,15,4,44.63,1.45,0.0,2,48.08,Credit Card,Flash Cab
100111,TX5347,2024-05-10 16:22:00,2024-05-10 17:20:55,3535,15.87,7,17,41.34,5.89,0.0,1,48.23,No Charge,Medallion
100112,TX8405,2024-02-11 15:04:00,2024-02-11 15:59:54,3354,1.74,65,29,7.43,4.48,0.0,0,11.91,Cash,Medallion
100113,TX7984,2024-04-20 01:41:00,2024-04-20 02:17:16,2176,13.05,14,63,34.57,0.31,2.5,3,40.38,No Charge,Flash Cab
100114,TX9984,2024-11-23 15:54:00,2024-11-23 16:04:30,630,6.78,42,49,19.52,1.48,0.0,2,23.0,Mobile,Taxi Affiliation
100115,TX8046,2024-07-03 07:34:00,2024-07-03 08:20:19,2779,8.89,58,30,24.59,7.93,0.0,1,33.52,No Charge,Blue Ribbon
100116,TX6120,2024-10-28 12:05:00,2024-10-28 12:40:57,2157,8.28,33,48,23.12,7.3,0.0,3,33.42,Credit Card,Taxi Affiliation
100117,TX3131,2024-01-25 16:37:00,2024-01-25 16:48:13,673,16.72,72,8,43.38,0.93,0.0,2,46.31,Mobile,Flash Cab
100118,TX5712,2024-05-29 19:42:00,2024-05-29 20:11:08,1748,17.54,77,40,45.35,9.41,2.5,0,57.26,Mobile,Flash Cab
100119,TX6736,2024-07-29 15:55:00,2024-07-29 16:34:38,2378,4.65,72,48,14.41,6.57,0.0,0,20.98,Cash,Blue Ribbon
100120,TX5381,2024-07-28 06:33:00,2024-07-28 06:53:26,1226,16.24,4,24,42.23,8.45,5.0,0,55.68,Mobile,Blue Ribbon
100121,TX2140,2024-12-01 18:31:00,2024-12-01 18:59:11,1691,7.34,19,4,20.87,1.81,0.0,3,25.68,Cash,Medallion
100122,TX6314,2024-03-19 13:51:00,2024-03-19 14:21:40,1840,8.69,73,77,24.11,3.41,0.0,2,29.52,Cash,Flash Cab
100123,TX8259,2024-02-26 21:28:00,2024-02-26 21:43:44,944,15.21,55,63,39.75,0.5,0.0,2,42.25,No Charge,Taxi Affiliation
100124,TX5640,2024-04-09 16:58:00,2024-04-09 17:17:42,1182,15.22,76,63,39.78,1.14,2.5,0,43.42,Mobile,Flash Cab
100125,TX4460,2024-03-21 12:55:00,2024-03-21 13:26:58,1918,19.7,18,33,50.53,0.55,0.0,2,53.08,Mobile,Blue Ribbon
100126,TX9725,2024-02-13 22:26:00,2024-02-13 22:31:31,331,10.2,30,65,27.73,4.31,0.0,3,35.04,Mobile,Flash Cab
100127,TX8033,2024-05-24 19:39:00,2024-05-24 20:34:39,3339,1.32,74,52,6.42,0.19,0.0,2,8.61,No Charge,Blue Ribbon
100128,TX6928,2024-02-12 04:24:00,2024-02-12 04:56:39,1959,0.91,12,56,5.43,3.25,5.0,3,16.68,Cash,Yellow Cab
100129,TX4630,2024-06-07 20:59:00,2024-06-07 21:44:12,2712,8.31,43,22,23.19,0.79,0.0,2,25.98,Cash,Medallion
100130,TX3419,2024-08-18 19:12:00,2024-08-18 19:24:47,767,10.85,31,14,29.29,1.94,0.0,2,33.23,Credit Card,Blue Ribbon
100131,TX9095,2024-03-13 01:47:00,2024-03-13 02:03:50,1010,12.25,60,73,32.65,7.6,0.0,1,41.25,No Charge,Medallion
100132,TX8205,2024-08-22 08:32:00,2024-08-22 09:20:22,2902,19.74,9,61,50.63,3.23,0.0,1,54.86,No Charge,Blue Ribbon
100133,TX8565,2024-10-17 04:26:00,2024-10-17 04:49:45,1425,12.03,58,5,32.12,3.52,0.0,2,37.64,Cash,Blue Ribbon
100134,TX8581,2024-10-30 01:28:00,2024-10-30 01:52:35,1475,2.0,75,71,8.05,8.64,0.0,3,19.69,Cash,Taxi Affiliation
100135,TX2013,2024-11-27 05:23:00,2024-11-27 06:07:01,2641,13.21,58,14,34.95,3.22,2.5,1,41.67,Mobile,Flash Cab
100136,TX9586,2024-07-02 22:48:00,2024-07-02 23:37:06,2946,3.86,67,21,12.51,2.48,2.5,3,20.49,Mobile,Blue Ribbon
100137,TX6482,2024-11-30 11:03:00,2024-11-30 11:27:18,1458,8.05,9,43,22.57,7.74,5.0,0,35.31,Cash,Medallion
100138,TX6461,2024-09-04 05:46:00,2024-09-04 06:17:23,1883,6.04,11,75,17.75,7.24,5.0,1,30.99,Credit Card,Blue Ribbon
100139,TX6072,2024-04-23 04:50:00,2024-04-23 05:39:47,2987,14.12,72,49,37.14,3.92,5.0,0,46.06,Mobile,Yellow Cab
100140,TX7937,2024-09-01 05:33:00,2024-09-01 06:25:58,3178,16.66,66,47,43.23,7.39,5.0,0,55.62,Cash,Blue Ribbon
100141,TX4711,2024-04-22 16:54:00,2024-04-22 17:11:18,1038,19.05,18,20,48.97,3.42,2.5,1,55.89,Cash,Blue Ribbon
100142,TX6517,2024-11-03 16:43:00,2024-11-03 17:41:48,3528,2.47,17,77,9.18,7.71,5.0,0,21.89,No Charge,Yellow Cab
100143,TX1715,2024-02-29 07:44:00,2024-02-29 08:01:20,1040,16.71,53,47,43.35,7.71,0.0,3,54.06,Credit Card,Taxi Affiliation
100144,TX6070,2024-08-10 13:27:00,2024-08-10 13:51:27,1467,15.17,61,25,39.66,7.84,0.0,1,48.5,Mobile,Medallion
100145,TX3655,2024-06-09 15:59:00,2024-06-09 16:35:31,2191,15.5,26,18,40.45,7.78,5.0,3,56.23,Mobile,Flash Cab
100146,TX5670,2024-08-21 16:42:00,2024-08-21 17:19:48,2268,17.55,11,21,45.37,5.55,0.0,0,50.92,Mobile,Taxi Affiliation
100147,TX6727,2024-11-25 20:41:00,2024-11-25 21:21:02,2402,3.37,4,54,11.34,4.37,0.0,3,18.71,Cash,Taxi Affiliation
100148,TX1461,2024-07-02 00:36:00,2024-07-02 01:06:31,1831,5.1,41,13,15.49,9.95,0.0,1,26.44,Mobile,Yellow Cab
100149,TX8349,2024-02-20 08:21:00,2024-02-20 08:28:36,456,6.09,1,11,17.87,8.3,0.0,3,29.17,Cash,Blue Ribbon
100150,TX2821,2024-03-19 18:25:00,2024-03-19 18:40:12,912,11.2,37,31,30.13,7.27,5.0,3,45.4,Mobile,Flash Cab
100151,TX2816,2024-01-18 15:14:00,2024-01-18 15:35:16,1276,8.69,64,77,24.11,7.94,2.5,0,34.55,Cash,Medallion
100152,TX4941,2024-07-28 14:50:00,2024-07-28 15:11:30,1290,14.51,74,54,38.07,2.91,0.0,2,42.98,Credit Card,Flash Cab
100153,TX7397,2024-07-09 20:16:00,2024-07-09 20:45:37,1777,1.82,61,6,7.62,5.26,5.0,0,17.88,No Charge,Blue Ribbon
100154,TX2698,2024-04-02 14:25:00,2024-04-02 15:21:01,3361,0.82,75,43,5.22,7.89,0.0,1,14.11,Credit Card,Flash Cab
100155,TX3986,2024-05-08 12:26:00,2024-05-08 13:08:16,2536,7.1,18,9,20.29,6.43,2.5,3,32.22,No Charge,Flash Cab
100156,TX6080,2024-04-17 02:08:00,2024-04-17 02:26:45,1125,1.35,66,51,6.49,1.99,0.0,2,10.48,No Charge,Blue Ribbon
100157,TX5476,2024-01-14 13:59:00,2024-01-14 14:55:25,3385,13.11,16,48,34.71,2.86,0.0,2,39.57,No Charge,Taxi Affiliation
100158,TX9151,2024-09-27 21:07:00,2024-09-27 21:42:01,2101,17.95,48,67,46.33,3.87,0.0,3,53.2,Mobile,Flash Cab
100159,TX6262,2024-09-21 23:20:00,2024-09-21 23:53:58,2038,2.04,14,11,8.15,6.02,0.0,2,16.17,Mobile,Blue Ribbon
100160,TX8325,2024-04-21 20:12:00,2024-04-21 20:47:26,2126,12.25,6,46,32.65,4.26,2.5,2,41.41,No Charge,Blue Ribbon
100161,TX9406,2024-08-21 01:46:00,2024-08-21 02:45:01,3541,18.98,21,4,48.8,0.75,2.5,2,54.05,Credit Card,Medallion
100162,TX6933,2024-09-04 03:13:00,2024-09-04 04:11:20,3500,9.04,50,73,24.95,1.26,0.0,2,28.21,Cash,Medallion
100163,TX3255,2024-02-26 02:45:00,2024-02-26 03:36:21,3081,9.27,68,47,25.5,3.71,2.5,0,31.71,No Charge,Blue Ribbon
100164,TX9482,2024-08-24 17:56:00,2024-08-24 18:20:01,1441,5.37,50,72,16.14,1.13,0.0,3,20.27,Cash,Blue Ribbon
100165,TX9047,2024-10-09 09:44:00,2024-10-09 10:06:46,1366,14.23,26,16,37.4,2.15,5.0,2,46.55,Credit Card,Flash Cab
100166,TX6692,2024-06-13 20:00:00,2024-06-13 20:16:47,1007,18.02,9,71,46.5,4.45,0.0,2,52.95,Mobile,Blue Ribbon
100167,TX9335,2024-11-06 05:18:00,2024-11-06 05:33:45,945,14.38,29,16,37.76,9.27,0.0,2,49.03,Credit Card,Yellow Cab
100168,TX8657,2024-03-27 10:37:00,2024-03-27 11:35:57,3537,10.13,71,17,27.56,3.61,5.0,2,38.17,Cash,Flash Cab
100169,TX7708,2024-04-22 20:37:00,2024-04-22 21:09:10,1930,19.99,74,10,51.23,7.19,5.0,3,66.42,Credit Card,Blue Ribbon
100170,TX3981,2024-08-22 02:50:00,2024-08-22 03:00:03,603,9.27,17,56,25.5,6.8,0.0,1,33.3,Cash,Flash Cab
100171,TX9501,2024-07-07 21:14:00,2024-07-07 21:29:26,926,6.43,37,11,18.68,1.62,0.0,2,22.3,Mobile,Yellow Cab
100172,TX9234,2024-08-19 11:12:00,2024-08-19 11:54:36,2556,5.85,22,76,17.29,6.25,5.0,0,28.54,Credit Card,Yellow Cab
100173,TX1464,2024-08-28 02:05:00,2024-08-28 02:52:37,2857,14.55,11,6,38.17,6.05,5.0,0,49.22,Mobile,Yellow Cab
100174,TX5949,2024-10-06 11:47:00,2024-10-06 12:31:03,2643,8.62,62,32,23.94,6.39,2.5,2,34.83,No Charge,Blue Ribbon
100175,TX8609,2024-06-14 09:07:00,2024-06-14 09:16:58,598,13.93,27,44,36.68,1.58,2.5,3,43.76,Credit Card,Blue Ribbon
100176,TX3142,2024-11-09 21:46:00,2024-11-09 22:40:02,3242,6.73,48,66,19.4,9.88,0.0,3,32.28,Cash,Blue Ribbon
100177,TX1829,2024-03-29 06:20:00,2024-03-29 06:56:50,2210,2.89,38,50,10.19,4.5,0.0,0,14.69,No Charge,Yellow Cab
100178,TX3610,2024-11-11 07:10:00,2024-11-11 07:25:54,954,16.36,64,66,42.51,9.34,0.0,1,52.85,No Charge,Taxi Affiliation
100179,TX4944,2024-11-16 07:28:00,2024-11-16 07:54:03,1563,10.2,28,75,27.73,0.9,2.5,3,34.13,Mobile,Flash Cab
100180,TX9793,2024-01-19 15:37:00,2024-01-19 16:01:12,1452,10.15,2,14,27.61,8.82,2.5,2,40.93,No Charge,Yellow Cab
100181,TX7563,2024-11-17 13:00:00,2024-11-17 13:23:03,1383,14.69,7,73,38.51,7.64,0.0,0,46.15,Credit Card,Blue Ribbon
