x1,x2,label
0.584,7.311,1
-0.758,0.455,0
4.064,10.802,1
-3.888,3.863,0
-0.074,3.364,1
-4.886,5.265,0
-0.313,-1.342,0
-4.437,0.328,0
-3.812,8.332,1
-3.825,-0.841,0
1.492,6.444,1
2.46,1.435,0
0.834,3.45,1
4.622,2.042,0
-1.251,2.979,1
-2.143,8.067,1
3.686,2.16,0
-2.764,5.93,1
4.632,4.665,0
-4.878,7.291,0
4.699,11.116,0
-4.568,8.256,0
3.911,1.009,0
0.277,-1.563,0
4.93,1.672,0
-4.262,6.331,0
0.539,-1.28,0
4.693,4.949,0
0.231,6.356,1
1.294,2.679,1
1.957,8.793,1
-0.455,-0.508,0
1.276,-0.948,0
0.843,8.195,1
4.012,4.937,0
-4.546,7.638,0
-2.19,4.088,1
4.504,1.45,0
3.903,9.467,1
-0.443,9.192,1
1.201,7.726,1
-2.226,1.81,0
-3.119,6.263,1
-0.363,3.054,1
-1.466,-0.718,0
0.837,10.842,1
-4.223,-0.085,0
4.744,11.303,0
4.862,4.244,0
